Дата;Продажи;Остаток;Цена;Со скидкой и промо;Скидка;Цена со скидкой;Промокод;СПП;Цена с СПП;Сумма продаж;Комментариев;Рейтинг;Остатки за сутки
2021-07-09;;;;;;;;;;;;;2021-07-09
2021-07-08;17;133;2208;695;58;927;25;5;660;11815;422;5;2021-07-08
2021-07-07;8;150;2208;695;58;927;25;5;660;5560;418;5;2021-07-07
2021-07-06;16;158;2208;695;58;927;25;5;660;11120;417;5;2021-07-06
2021-07-05;9;174;2208;741;58;927;20;5;704;6669;416;5;2021-07-05
2021-07-04;14;183;2208;741;58;927;20;5;704;10374;412;5;2021-07-04
2021-07-03;14;196;2208;741;58;927;20;5;704;10374;409;5;2021-07-03
2021-07-02;8;210;2208;741;58;927;20;5;704;5928;408;5;2021-07-02
2021-07-01;8;217;2208;741;58;927;20;5;704;5928;407;5;2021-07-01
2021-06-30;11;224;2208;741;58;927;20;5;704;8151;404;5;2021-06-30
2021-06-29;8;231;2208;741;58;927;20;5;704;5928;402;5;2021-06-29
2021-06-28;2;239;2208;741;58;927;20;5;704;1482;399;5;2021-06-28
2021-06-27;3;241;2208;741;58;927;20;5;704;2223;398;5;2021-06-27
2021-06-26;5;242;2208;741;58;927;20;5;704;3705;396;5;2021-06-26
2021-06-25;6;246;2208;741;58;927;20;5;704;4446;394;5;2021-06-25
2021-06-24;11;250;2208;741;58;927;20;5;704;8151;391;5;2021-06-24
2021-06-23;5;260;2208;741;58;927;20;5;704;3705;390;5;2021-06-23
2021-06-22;2;264;2208;695;58;927;25;0;695;1390;388;5;2021-06-22
2021-06-21;10;216;2208;621;58;927;33;5;590;6210;386;5;2021-06-21
2021-06-20;18;225;2208;621;58;927;33;5;590;11178;384;5;2021-06-20
2021-06-19;13;243;2208;621;58;927;33;5;590;8073;381;5;2021-06-19
2021-06-18;16;256;2208;621;58;927;33;5;590;9936;379;5;2021-06-18
2021-06-17;7;272;2208;621;58;927;33;5;590;4347;375;5;2021-06-17
2021-06-16;19;281;2208;621;58;927;33;5;590;11799;371;5;2021-06-16
2021-06-15;23;299;2208;621;58;927;33;5;590;14283;370;5;2021-06-15
2021-06-14;22;321;2208;621;58;927;33;5;590;13662;366;5;2021-06-14
2021-06-13;12;342;2208;621;58;927;33;5;590;7452;364;5;2021-06-13
2021-06-12;16;354;2208;621;58;927;33;5;590;9936;364;5;2021-06-12
2021-06-11;12;348;2208;621;58;927;33;5;590;7452;363;5;2021-06-11
2021-06-10;16;360;2208;621;58;927;33;5;590;9936;363;5;2021-06-10
2021-06-09;10;376;2208;695;58;927;25;5;660;6950;362;5;2021-06-09
2021-06-08;7;386;2208;695;58;927;25;5;660;4865;362;5;2021-06-08
2021-06-07;22;393;2208;880;58;927;5;5;836;19360;360;5;2021-06-07
2021-06-06;21;416;2208;621;58;927;33;5;590;13041;359;5;2021-06-06
2021-06-05;12;437;2208;621;58;927;33;5;590;7452;358;5;2021-06-05
2021-06-04;13;449;2208;621;58;927;33;5;590;8073;358;5;2021-06-04
2021-06-03;14;462;2208;621;58;927;33;5;590;8694;353;5;2021-06-03
2021-06-02;7;476;2208;621;58;927;33;5;590;4347;353;5;2021-06-02
2021-06-01;3;483;2208;621;58;927;33;5;590;1863;352;5;2021-06-01
2021-05-31;16;485;2208;621;58;927;33;5;590;9936;351;5;2021-05-31
2021-05-30;7;500;2208;621;58;927;33;5;590;4347;350;5;2021-05-30
2021-05-29;6;507;2208;621;58;927;33;5;590;3726;348;5;2021-05-29
2021-05-28;2;513;2208;621;58;927;33;5;590;1242;346;5;2021-05-28
2021-05-27;4;514;2208;695;58;927;25;0;695;2780;345;5;2021-05-27
2021-05-26;14;517;2208;695;58;927;25;5;660;9730;344;5;2021-05-26
2021-05-25;6;530;2208;695;58;927;25;5;660;4170;344;5;2021-05-25
2021-05-24;1;536;2208;695;58;927;25;0;695;695;344;5;2021-05-24
2021-05-23;7;537;2208;695;58;927;25;5;660;4865;344;5;2021-05-23
2021-05-22;9;544;2208;695;58;927;25;5;660;6255;344;5;2021-05-22
2021-05-21;2;504;2208;695;58;927;25;5;660;1390;343;5;2021-05-21
2021-05-20;5;506;2208;695;58;927;25;0;695;3475;341;5;2021-05-20
2021-05-19;5;511;2208;695;58;927;25;0;695;3475;340;5;2021-05-19
2021-05-18;3;516;2208;695;58;927;25;0;695;2085;339;5;2021-05-18
2021-05-17;4;519;2208;695;58;927;25;0;695;2780;339;5;2021-05-17
2021-05-16;3;446;2208;695;58;927;25;0;695;2085;338;5;2021-05-16
2021-05-15;7;450;2208;695;58;927;25;5;660;4865;335;5;2021-05-15
2021-05-14;5;457;2208;695;58;927;25;5;660;3475;335;5;2021-05-14
2021-05-13;5;462;2208;695;58;927;25;0;695;3475;333;5;2021-05-13
2021-05-12;6;466;2208;695;58;927;25;0;695;4170;332;5;2021-05-12
2021-05-11;14;472;2208;612;58;927;34;0;612;8568;331;5;2021-05-11
2021-05-10;18;194;2208;612;58;927;34;5;581;11016;327;5;2021-05-10
Суммарно (60 дней);589 шт;;;;;;;;;394 463,00 ₽;;;Суммарно (60 дней)
Среднее (в день);10 шт;;;;;;;;;6 574,38 ₽;;;Среднее (в день)
Дней с наличием;60 дней;;;;;;;;;;;;Дней с наличием
Среднее при наличии;10 шт;;;;;;;;;6 574,38 ₽;;;Среднее при наличии
Потенциал;;;;;;;;;;394 463,00 ₽;;;Потенциал
Упущенная выручка;;;;;;;;;;0,00 ₽;;;Упущенная выручка
