Дата;Продажи;Остаток;Цена;Со скидкой и промо;Скидка;Цена со скидкой;Промокод;СПП;Цена с СПП;Сумма продаж;Комментариев;Рейтинг;Остатки за сутки
2021-07-08;31;50;2950;684;71;855;20;5;650;21204;2028;5;2021-07-08
2021-07-07;28;81;2950;495;79;619;20;5;470;13860;2023;5;2021-07-07
2021-07-06;29;109;2950;495;79;619;20;5;470;14355;2016;5;2021-07-06
2021-07-05;28;138;2950;542;77;678;20;5;515;15176;1999;5;2021-07-05
2021-07-04;35;168;2950;542;77;678;20;5;515;18970;1991;5;2021-07-04
2021-07-03;26;203;2950;542;77;678;20;5;515;14092;1978;5;2021-07-03
2021-07-02;20;230;2950;542;77;678;20;5;515;10840;1969;5;2021-07-02
2021-07-01;27;249;2950;542;77;678;20;5;515;14634;1961;5;2021-07-01
2021-06-30;24;278;2950;542;77;678;20;5;515;13008;1952;5;2021-06-30
2021-06-29;23;304;2950;542;77;678;20;5;515;12466;1937;5;2021-06-29
2021-06-28;34;327;2950;542;77;678;20;5;515;18428;1930;5;2021-06-28
2021-06-27;36;360;2950;542;77;678;20;5;515;19512;1919;5;2021-06-27
2021-06-26;32;399;2950;542;77;678;20;0;542;17344;1916;5;2021-06-26
2021-06-25;28;431;2950;542;77;678;20;0;542;15176;1903;5;2021-06-25
2021-06-24;20;458;2950;542;77;678;20;0;542;10840;1898;5;2021-06-24
2021-06-23;18;478;2950;578;72;826;30;0;578;10404;1888;5;2021-06-23
2021-06-22;16;491;2950;578;72;826;30;0;578;9248;1881;5;2021-06-22
2021-06-21;15;503;2950;660;72;826;20;5;627;9900;1872;5;2021-06-21
2021-06-20;24;517;2950;519;78;649;20;0;519;12456;1858;5;2021-06-20
2021-06-19;28;541;2950;519;78;649;20;0;519;14532;1849;5;2021-06-19
2021-06-18;15;567;2950;519;78;649;20;0;519;7785;1835;5;2021-06-18
2021-06-17;21;584;2950;519;78;649;20;0;519;10899;1821;5;2021-06-17
2021-06-16;51;607;2950;519;78;649;20;5;493;26469;1811;5;2021-06-16
2021-06-15;20;658;2950;519;78;649;20;5;493;10380;1797;5;2021-06-15
2021-06-14;30;679;2950;519;78;649;20;5;493;15570;1790;5;2021-06-14
2021-06-13;38;710;2950;519;78;649;20;0;519;19722;1778;5;2021-06-13
2021-06-12;38;747;2950;519;78;649;20;5;493;19722;1771;5;2021-06-12
2021-06-11;37;782;2950;519;78;649;20;5;493;19203;1764;5;2021-06-11
2021-06-10;41;819;2950;519;78;649;20;5;493;21279;1748;5;2021-06-10
2021-06-09;29;860;2950;590;75;737;20;5;560;17110;1738;5;2021-06-09
2021-06-08;20;888;2950;590;75;737;20;5;560;11800;1732;5;2021-06-08
2021-06-07;22;909;2950;590;75;737;20;5;560;12980;1719;5;2021-06-07
2021-06-06;32;931;2950;542;77;678;20;5;515;17344;1711;5;2021-06-06
2021-06-05;29;962;2950;542;77;678;20;5;515;15718;1705;5;2021-06-05
2021-06-04;25;993;2950;542;77;678;20;5;515;13550;1696;5;2021-06-04
2021-06-03;29;1018;2950;542;77;678;20;5;515;15718;1689;5;2021-06-03
2021-06-02;22;1047;2950;542;77;678;20;5;515;11924;1679;5;2021-06-02
2021-06-01;22;1070;2950;542;77;678;20;5;515;11924;1670;5;2021-06-01
2021-05-31;27;1093;2950;566;76;708;20;5;538;15282;1659;5;2021-05-31
2021-05-30;20;1120;2950;566;76;708;20;5;538;11320;1654;5;2021-05-30
2021-05-29;22;1138;2950;566;76;708;20;5;538;12452;1644;5;2021-05-29
2021-05-28;18;1159;2950;566;76;708;20;5;538;10188;1629;5;2021-05-28
2021-05-27;9;1176;2950;566;76;708;20;0;566;5094;1616;5;2021-05-27
2021-05-26;15;1184;2950;597;73;796;25;5;567;8955;1597;5;2021-05-26
2021-05-25;13;1199;2950;597;73;796;25;0;597;7761;1596;5;2021-05-25
2021-05-24;18;1211;2950;590;75;737;20;0;590;10620;1587;5;2021-05-24
2021-05-23;13;1226;2950;590;75;737;20;5;560;7670;1582;5;2021-05-23
2021-05-22;16;1239;2950;590;75;737;20;5;560;9440;1573;5;2021-05-22
2021-05-21;13;1256;2950;637;73;796;20;5;605;8281;1565;5;2021-05-21
2021-05-20;13;1268;2950;637;73;796;20;0;637;8281;1555;5;2021-05-20
2021-05-19;20;1043;2950;637;73;796;20;0;637;12740;1546;5;2021-05-19
2021-05-18;8;848;2950;637;73;796;20;0;637;5096;1529;5;2021-05-18
2021-05-17;16;616;2950;637;73;796;20;0;637;10192;1522;5;2021-05-17
2021-05-16;21;632;2950;637;73;796;20;0;637;13377;1508;5;2021-05-16
2021-05-15;8;654;2950;637;73;796;20;5;605;5096;1495;5;2021-05-15
2021-05-14;22;662;2950;637;73;796;20;5;605;14014;1486;5;2021-05-14
2021-05-13;18;565;2950;590;75;737;20;0;590;10620;1472;5;2021-05-13
2021-05-12;20;580;2950;590;75;737;20;0;590;11800;1460;5;2021-05-12
2021-05-11;32;603;2950;542;77;678;20;0;542;17344;1450;5;2021-05-11
2021-05-10;25;635;2950;542;77;678;20;5;515;13550;1436;5;2021-05-10
2021-05-09;31;661;2950;542;77;678;20;5;515;16802;1425;5;2021-05-09
2021-05-08;23;692;2950;542;77;678;20;5;515;12466;1416;5;2021-05-08
2021-05-07;18;237;2950;542;77;678;20;5;515;9756;1405;5;2021-05-07
2021-05-06;21;255;2950;542;77;678;20;5;515;11382;1391;5;2021-05-06
2021-05-05;28;276;2950;542;77;678;20;5;515;15176;1384;5;2021-05-05
2021-05-04;32;305;2950;495;79;619;20;5;470;15840;1377;5;2021-05-04
2021-05-03;19;340;2950;542;77;678;20;5;515;10298;1371;4;2021-05-03
2021-05-02;0;0;2950;542;77;678;20;0;542;0;1365;4;2021-05-02
2021-05-01;0;0;2950;542;77;678;20;0;542;0;1362;4;2021-05-01
2021-04-30;0;0;2950;542;77;678;20;0;542;0;1356;4;2021-04-30
2021-04-29;0;0;2950;542;77;678;20;0;542;0;1353;4;2021-04-29
2021-04-28;0;0;2950;542;77;678;20;0;542;0;1350;4;2021-04-28
2021-04-27;0;0;2950;920;61;1150;20;5;874;0;1350;4;2021-04-27
2021-04-26;0;0;2950;920;61;1150;20;5;874;0;1346;4;2021-04-26
2021-04-25;0;0;2950;920;61;1150;20;5;874;0;1346;4;2021-04-25
2021-04-24;0;0;2950;920;61;1150;20;5;874;0;1345;4;2021-04-24
2021-04-23;0;0;2950;920;61;1150;20;5;874;0;1341;4;2021-04-23
2021-04-22;0;0;2950;920;61;1150;20;5;874;0;1339;4;2021-04-22
2021-04-21;0;0;2950;920;61;1150;20;5;874;0;1335;4;2021-04-21
2021-04-20;0;0;2950;920;61;1150;20;5;874;0;1325;4;2021-04-20
2021-04-19;0;0;2950;920;61;1150;20;5;874;0;1323;4;2021-04-19
2021-04-18;0;0;2950;920;61;1150;20;5;874;0;1316;4;2021-04-18
2021-04-17;0;0;2950;920;61;1150;20;5;874;0;1311;4;2021-04-17
2021-04-16;0;0;2950;920;61;1150;20;5;874;0;1307;4;2021-04-16
2021-04-15;0;0;2950;920;61;1150;20;5;874;0;1303;4;2021-04-15
2021-04-14;0;0;2950;920;61;1150;20;5;874;0;1298;4;2021-04-14
2021-04-13;0;0;2950;920;61;1150;20;5;874;0;1291;4;2021-04-13
2021-04-12;0;0;2950;920;61;1150;20;0;920;0;1282;4;2021-04-12
2021-04-11;0;0;2950;920;61;1150;20;0;920;0;1271;4;2021-04-11
2021-04-10;0;0;2950;920;61;1150;20;0;920;0;1271;4;2021-04-10
2021-04-09;0;0;2950;920;61;1150;20;0;920;0;1267;4;2021-04-09
Суммарно (92 дней);1 602 шт;;;;;;;;;886 435,00 ₽;;;Суммарно (92 дней)
Среднее (в день);17 шт;;;;;;;;;9 635,16 ₽;;;Среднее (в день)
Дней с наличием;67 дней;;;;;;;;;;;;Дней с наличием
Среднее при наличии;24 шт;;;;;;;;;13 230,37 ₽;;;Среднее при наличии
Потенциал;;;;;;;;;;1 217 195,00 ₽;;;Потенциал
Упущенная выручка;;;;;;;;;;330 760,00 ₽;;;Упущенная выручка
