Дата;Продажи;Остаток;Цена;Со скидкой и промо;Скидка;Цена со скидкой;Промокод;СПП;Цена с СПП;Сумма продаж;Комментариев;Рейтинг;Остатки за сутки
2021-07-09;;;;;;;;;;;;;2021-07-09
2021-07-08;2;236;1240;634;36;793;20;5;603;1268;46;5;2021-07-08
2021-07-07;6;235;1240;535;46;669;20;5;508;3210;43;5;2021-07-07
2021-07-06;20;241;1240;535;46;669;20;5;508;10700;42;5;2021-07-06
2021-07-05;15;232;1240;535;46;669;20;5;508;8025;42;5;2021-07-05
2021-07-04;9;246;1240;535;46;669;20;5;508;4815;39;5;2021-07-04
2021-07-03;0;255;1240;535;46;669;20;5;508;0;38;5;2021-07-03
2021-07-02;3;165;1240;535;46;669;20;5;508;1605;38;5;2021-07-02
2021-07-01;4;168;1240;535;46;669;20;5;508;2140;37;5;2021-07-01
2021-06-30;6;172;1240;535;46;669;20;5;508;3210;35;5;2021-06-30
2021-06-29;5;178;1240;535;46;669;20;5;508;2675;34;5;2021-06-29
2021-06-28;7;152;1240;535;46;669;20;5;508;3745;33;5;2021-06-28
2021-06-27;7;158;1240;535;46;669;20;5;508;3745;32;5;2021-06-27
2021-06-26;8;164;1240;535;46;669;20;5;508;4280;31;5;2021-06-26
2021-06-25;15;171;1240;535;46;669;20;0;535;8025;30;5;2021-06-25
2021-06-24;3;186;1240;535;46;669;20;0;535;1605;30;5;2021-06-24
2021-06-23;2;189;1240;659;24;942;30;5;626;1318;29;5;2021-06-23
2021-06-22;2;191;1240;659;24;942;30;0;659;1318;29;5;2021-06-22
2021-06-21;3;193;1240;753;24;942;20;5;716;2259;28;5;2021-06-21
2021-06-20;7;196;1240;634;36;793;20;5;603;4438;25;5;2021-06-20
2021-06-19;10;201;1240;634;36;793;20;5;603;6340;25;5;2021-06-19
2021-06-18;0;0;0;0;0;0;;;;0;0;0;2021-06-18
2021-06-17;1;186;1240;634;36;793;20;5;603;634;24;5;2021-06-17
2021-06-16;1;187;1240;634;36;793;20;5;603;634;23;5;2021-06-16
2021-06-15;2;129;1240;496;50;620;20;0;496;992;22;5;2021-06-15
2021-06-14;4;130;1240;496;50;620;20;0;496;1984;21;5;2021-06-14
2021-06-13;3;133;1240;496;50;620;20;5;471;1488;20;5;2021-06-13
2021-06-12;2;136;1240;496;50;620;20;5;471;992;19;5;2021-06-12
2021-06-11;0;138;1240;496;50;620;20;5;471;0;19;5;2021-06-11
2021-06-10;0;110;1240;505;49;632;20;5;480;0;19;5;2021-06-10
2021-06-09;0;84;1240;565;43;706;20;5;537;0;19;5;2021-06-09
2021-06-08;0;60;1240;565;43;706;20;5;537;0;19;5;2021-06-08
2021-06-07;3;60;1240;535;46;669;20;5;508;1605;18;5;2021-06-07
2021-06-06;2;63;1240;535;46;669;20;0;535;1070;16;5;2021-06-06
2021-06-05;3;65;1240;535;46;669;20;5;508;1605;16;5;2021-06-05
2021-06-04;5;68;1240;535;46;669;20;5;508;2675;16;5;2021-06-04
2021-06-03;8;73;1240;535;46;669;20;5;508;4280;16;5;2021-06-03
2021-06-02;1;81;1240;585;41;731;20;5;556;585;14;5;2021-06-02
2021-06-01;0;82;1240;585;41;731;20;5;556;0;12;5;2021-06-01
2021-05-31;0;82;1240;734;26;917;20;5;697;0;12;5;2021-05-31
2021-05-30;1;52;1240;863;13;1078;20;5;819;863;10;5;2021-05-30
2021-05-29;0;53;1240;863;13;1078;20;5;819;0;8;5;2021-05-29
2021-05-28;1;23;1240;863;13;1078;20;5;819;863;6;5;2021-05-28
2021-05-27;0;24;1240;783;21;979;20;5;744;0;5;5;2021-05-27
2021-05-26;6;0;1240;734;21;979;25;0;734;4404;1;5;2021-05-26
2021-05-25;1;6;1240;585;37;781;25;0;585;585;0;0;2021-05-25
2021-05-24;16;7;1240;585;41;731;20;0;585;9360;0;0;2021-05-24
2021-05-23;1;23;1240;694;30;868;20;5;659;694;0;0;2021-05-23
2021-05-22;0;24;1240;694;30;868;20;5;659;0;0;0;2021-05-22
2021-05-21;3;24;1240;694;30;868;20;5;659;2082;0;0;2021-05-21
2021-05-20;0;27;1240;694;30;868;20;0;694;0;0;0;2021-05-20
2021-05-19;2;27;1240;694;30;868;20;0;694;1388;0;0;2021-05-19
2021-05-18;0;29;1240;694;30;868;20;0;694;0;0;0;2021-05-18
2021-05-17;1;29;1240;694;30;868;20;0;694;694;0;0;2021-05-17
2021-05-16;0;30;1240;694;30;868;20;0;694;0;0;0;2021-05-16
2021-05-15;0;30;1240;694;30;868;20;5;659;0;0;0;2021-05-15
2021-05-14;0;30;1240;694;30;868;20;5;659;0;0;0;2021-05-14
2021-05-13;0;30;1240;694;30;868;20;0;694;0;0;0;2021-05-13
2021-05-12;0;30;1240;694;30;868;20;0;694;0;0;0;2021-05-12
2021-05-11;0;30;1240;694;30;868;20;0;694;0;0;0;2021-05-11
2021-05-10;0;30;1240;694;30;868;20;5;659;0;0;0;2021-05-10
Суммарно (60 дней);201 шт;;;;;;;;;114 198,00 ₽;;;Суммарно (60 дней)
Среднее (в день);3 шт;;;;;;;;;1 903,30 ₽;;;Среднее (в день)
Дней с наличием;58 дней;;;;;;;;;;;;Дней с наличием
Среднее при наличии;3 шт;;;;;;;;;1 893,00 ₽;;;Среднее при наличии
Потенциал;;;;;;;;;;118 136,00 ₽;;;Потенциал
Упущенная выручка;;;;;;;;;;3 938,00 ₽;;;Упущенная выручка
